Year,Age group (condensed),Incidence,Inc_LCI,Inc_UCI,CoB
2e3,0-14,35.22075868389369,28.593914382773328,42.92282351637417,Non-UK born
2001,0-14,44.55958549222798,37.202358798544566,52.94597464823164,Non-UK born
2002,0-14,46.541816397283476,39.32231060357351,54.70296084242218,Non-UK born
2003,0-14,33.98595428481317,28.28960901810506,40.49273025400628,Non-UK born
2004,0-14,36.15013149610332,29.972051618151795,43.226696079624354,Non-UK born
2005,0-14,38.235347668554155,32.304330458968984,44.939946229331014,Non-UK born
2006,0-14,30.083729034649238,25.041431088405307,35.8434050321493,Non-UK born
2007,0-14,31.638825232841977,26.682388203522336,37.2488971337292,Non-UK born
2008,0-14,33.0867004787579,27.987430181900475,38.84628105818765,Non-UK born
2009,0-14,24.0322512812194,19.92512464245792,28.736681700712808,Non-UK born
2010,0-14,19.403558375011386,15.75274660820803,23.646722638633534,Non-UK born
2011,0-14,26.68046829236979,22.338998550461106,31.619370788096617,Non-UK born
2012,0-14,23.180474125502478,19.265240311925005,27.657588554714234,Non-UK born
2013,0-14,17.466174173482774,14.008382428055603,21.518815087292023,Non-UK born
2014,0-14,13.023033170017458,10.225882089341702,16.3492255698275,Non-UK born
2015,0-14,8.784658732276137,6.599306007493761,11.462074089439328,Non-UK born
2016,0-14,0,0,0.5943564828082023,Non-UK born
2e3,15-64,98.59714653224489,95.24640323983523,102.03567447499648,Non-UK born
2001,15-64,99.62646654428042,96.30893551432116,103.02912174866154,Non-UK born
2002,15-64,109.35903177682509,105.9638332663144,112.83532749882227,Non-UK born
2003,15-64,110.16332899428858,106.83965379320172,113.56410718289932,Non-UK born
2004,15-64,112.36256410494462,109.05067358309942,115.74947786463434,Non-UK born
2005,15-64,119.97073813255197,116.64596769444015,123.36623684509058,Non-UK born
2006,15-64,112.0503427776615,108.97251975906148,115.19305117698381,Non-UK born
2007,15-64,100.3296545793321,97.52997246780848,103.18931438587737,Non-UK born
2008,15-64,98.58654745131345,95.88149134399032,101.34856734572409,Non-UK born
2009,15-64,99.49034679871829,96.81534756786084,102.22052424400093,Non-UK born
2010,15-64,93.3663565016169,90.80604916843745,95.98054698232342,Non-UK born
2011,15-64,95.14360100504246,92.63716698478777,97.70067272608334,Non-UK born
2012,15-64,89.56918065051698,87.15543856010846,92.03282755986156,Non-UK born
2013,15-64,77.47921953215487,75.27889016041034,79.72753746312823,Non-UK born
2014,15-64,64.411484075324,62.44116394665682,66.42816014111672,Non-UK born
2015,15-64,55.15094207530793,53.36589754840169,56.980477000395595,Non-UK born
2016,15-64,0,0,0.05441298658900901,Non-UK born
2e3,65+,87.75074690567648,80.32763898740717,95.6753063788318,Non-UK born
2001,65+,78.24626378074473,71.47738360019765,85.48338489014175,Non-UK born
2002,65+,88.4593383991673,81.32089423404116,96.0565278816652,Non-UK born
2003,65+,74.33826950100637,67.73424806467982,81.41221156132448,Non-UK born
2004,65+,84.38107910094571,77.15306749078334,92.10389096547438,Non-UK born
2005,65+,93.0839255696032,85.83101819993705,100.7859957707305,Non-UK born
2006,65+,86.83428900529466,79.93934058027918,94.16483075327099,Non-UK born
2007,65+,84.36357428404774,77.70921672922029,91.43538333100055,Non-UK born
2008,65+,78.1588413658022,71.93186997128355,84.78060459220349,Non-UK born
2009,65+,88.7200834950143,82.12365402332547,95.70534052763449,Non-UK born
2010,65+,81.43079332593219,75.04457529471554,88.21521821225939,Non-UK born
2011,65+,82.47882589575765,76.19246763786813,89.14553871907273,Non-UK born
2012,65+,80.22655093403117,74.19040862498049,86.62296789078361,Non-UK born
2013,65+,65.76433464068295,60.52042151910832,71.34100976973752,Non-UK born
2014,65+,68.32212653847665,62.76039226115326,74.24459296186849,Non-UK born
2015,65+,60.951326359141724,55.73537378826229,66.52397279945542,Non-UK born
2016,65+,0,0,0.42422075542442267,Non-UK born
2e3,All cases (crude),92.85923931490836,89.96086782397731,95.82721932470655,Non-UK born
2001,All cases (crude),92.85691227131652,90.0108647711787,95.77005365866555,Non-UK born
2002,All cases (crude),102.04961939915508,99.13326915515293,105.02998266663528,Non-UK born
2003,All cases (crude),99.58450165582573,96.77153009252221,102.45848892375619,Non-UK born
2004,All cases (crude),103.6368670770781,100.7776809943964,106.55659823591377,Non-UK born
2005,All cases (crude),110.45794801058206,107.60583425684452,113.36651951364833,Non-UK born
2006,All cases (crude),102.88778661661807,100.24129074458156,105.58646637076126,Non-UK born
2007,All cases (crude),93.25690329149258,90.83064191836425,95.73156393886843,Non-UK born
2008,All cases (crude),91.49290608490536,89.14580848581527,93.88615800392645,Non-UK born
2009,All cases (crude),92.46932967707478,90.15034372799069,94.8328778236215,Non-UK born
2010,All cases (crude),86.41487908469215,84.19306451311637,88.68048432512647,Non-UK born
2011,All cases (crude),88.88323464232627,86.6900187103191,91.11790703698526,Non-UK born
2012,All cases (crude),83.59659171326997,81.49370133180815,85.7400175815551,Non-UK born
2013,All cases (crude),72.03144244977808,70.11655331706379,73.98537762819183,Non-UK born
2014,All cases (crude),61.01440595431663,59.277431711444606,62.789357349370164,Non-UK born
2015,All cases (crude),52.1780841520723,50.605162541051534,53.78746349843553,Non-UK born
2016,All cases (crude),0,0,0.04460756759783646,Non-UK born
2e3,All cases (adj),92.68420123636146,89.78571465976337,95.65482034056647,Non-UK born
2001,All cases (adj),93.07844414922626,90.21855649023975,96.00801321999101,Non-UK born
2002,All cases (adj),102.30106023742798,99.37204668087693,105.29551968771344,Non-UK born
2003,All cases (adj),100.36796161897122,97.53087920937914,103.2668980569062,Non-UK born
2004,All cases (adj),103.48987814286174,100.63433138027943,106.40716636855763,Non-UK born
2005,All cases (adj),110.82339566111237,107.96089672456624,113.74275809362139,Non-UK born
2006,All cases (adj),103.08318166483463,100.43153794893908,105.78717809648147,Non-UK born
2007,All cases (adj),93.42423937497757,90.99357724397221,95.90349665179508,Non-UK born
2008,All cases (adj),91.38812390976437,89.04369661324256,93.77904010849943,Non-UK born
2009,All cases (adj),92.70308266792733,90.37814066720938,95.07298403084756,Non-UK born
2010,All cases (adj),86.55095313413904,84.32513517036136,88.82159162960843,Non-UK born
2011,All cases (adj),88.6442617129927,86.45620134987911,90.87478693281372,Non-UK born
2012,All cases (adj),83.61339099938606,81.5098814843339,85.75800871313325,Non-UK born
2013,All cases (adj),71.70972163864016,69.8032694526477,73.65622286509085,Non-UK born
2014,All cases (adj),61.11575485564675,59.374526883013544,62.896522160399925,Non-UK born
2015,All cases (adj),52.44530409416578,50.862290867904825,54.06680758414552,Non-UK born
2016,All cases (adj),0,NaN,0.050041970985789906,Non-UK born
2e3,0-14,3.492127573677836,3.1338187095870618,3.8801757580770935,Total
2001,0-14,4.395278608954648,3.9790862646489753,4.843169414090845,Total
2002,0-14,4.179368988908864,3.7727850527273503,4.617826698256777,Total
2003,0-14,3.5114386472851193,3.1388960747945864,3.916034073811675,Total
2004,0-14,4.381428411056458,3.963540413119489,4.831390476152256,Total
2005,0-14,4.532683102648889,4.107025101431449,4.990474707906745,Total
2006,0-14,3.96399857077046,3.566121956745722,4.394128263676808,Total
2007,0-14,4.981437046270012,4.5346554000807835,5.460334572304314,Total
2008,0-14,4.8992444843577765,4.457463094116448,5.372964743872761,Total
2009,0-14,4.236685459392882,3.827611353703296,4.6775718271516675,Total
2010,0-14,3.8073445069778433,3.421542872381936,4.224740780216412,Total
2011,0-14,4.005841710443272,3.6111248559254037,4.431928361358852,Total
2012,0-14,4.175097252880896,3.7739592543537346,4.607265795485707,Total
2013,0-14,3.03807237126873,2.699003776509675,3.4079523819403237,Total
2014,0-14,2.7179594180755875,2.399371322236669,3.0670773216376266,Total
2015,0-14,2.2466315334342686,1.9595473783874346,2.563940121261246,Total
2e3,15-64,13.448225069966123,13.060907763508519,13.844111473084228,Total
2001,15-64,14.400802287995509,13.99009404974901,14.820506815124658,Total
2002,15-64,15.855628589992392,15.426050211569859,16.294137214631267,Total
2003,15-64,16.22052696711392,15.787551701604004,16.662367773941565,Total
2004,15-64,16.808070537001814,16.368902380810702,17.256037450755752,Total
2005,15-64,18.484664430634634,18.02657405907426,18.951451844085007,Total
2006,15-64,18.55913550723799,18.102529298462617,19.02434677490543,Total
2007,15-64,17.89927493861053,17.453027835587285,18.354045974601377,Total
2008,15-64,18.5184263580856,18.06617884835309,18.979132942667693,Total
2009,15-64,19.146829549619902,18.688140068352336,19.61393256281428,Total
2010,15-64,18.09248939274579,17.64803283781275,18.5453092420172,Total
2011,15-64,19.507756376529994,19.047691588083435,19.97612652800533,Total
2012,15-64,18.92859354026841,18.475200346184312,19.390301849053532,Total
2013,15-64,17.071541191982345,16.641281942018505,17.51011028009132,Total
2014,15-64,14.910604884268608,14.509360905459111,15.32013266736221,Total
2015,15-64,13.301280638683679,12.92341822752316,13.687386787148155,Total
2e3,65+,13.575152041702868,12.793380488509753,14.392199659596804,Total
2001,65+,14.02586118660062,13.208777306166246,14.88025894501473,Total
2002,65+,14.275102672882912,13.453022068976031,15.134278216423072,Total
2003,65+,12.422657919097599,11.658880891799331,13.223329449731889,Total
2004,65+,12.18677358930573,11.432584921942102,12.97764285874002,Total
2005,65+,13.24114110983184,12.457015457867582,14.061692114409595,Total
2006,65+,13.036223319196273,12.259541299957169,13.849213261628018,Total
2007,65+,12.528971708646516,11.771050686600773,13.322890531183427,Total
2008,65+,12.024270116500874,11.287558790380187,12.79643943910345,Total
2009,65+,13.166216820925284,12.40160681965433,13.965630939487228,Total
2010,65+,12.062662789020758,11.338185705751098,12.821292038157914,Total
2011,65+,12.348695545889667,11.622447964232151,13.108438364102044,Total
2012,65+,11.858875407607435,11.160157040592967,12.589880806742075,Total
2013,65+,10.725210122234081,10.070037709515741,11.411818632767648,Total
2014,65+,10.222581777508811,9.590907305216055,10.884929714830177,Total
2015,65+,8.700960050545884,8.124112362471656,9.30795579968726,Total
2e3,All cases (crude),11.576480335710258,11.286255948794699,11.872279877124594,Total
