Year,Age,Incidence,Inc_LCI,Inc_UCI,CoB
2000,0,2.784536078885907,1.591602962335934,4.521912140500895,Total (LFS)
2001,0,3.6872440761512935,2.2199618009988034,5.758088371904288,Total (LFS)
2002,0,2.705886760720515,1.4407707387495063,4.6271487692708835,Total (LFS)
2003,0,3.181840301563594,1.8535392301457447,5.0944345525221895,Total (LFS)
2004,0,4.30575913224601,2.758781121163427,6.406628284487463,Total (LFS)
2005,0,4.13592446003708,2.621821323935437,6.205917410054078,Total (LFS)
2006,0,3.643492895188854,2.2553795277471393,5.56946592205413,Total (LFS)
2007,0,4.528520097049669,2.9581796769765405,6.635331179927688,Total (LFS)
2008,0,4.166746796412752,2.721857345909912,6.105249473247085,Total (LFS)
2009,0,4.610905450090242,3.0639131858487247,6.664042173855538,Total (LFS)
2010,0,3.0922717618625244,1.861749601563507,4.828965402619578,Total (LFS)
2011,0,3.87286234836902,2.455062510868377,5.811195080258005,Total (LFS)
2012,0,3.3435976473810074,2.069739642661151,5.111044179265139,Total (LFS)
2013,0,1.7406109861035948,0.8689067328790084,3.114433860469768,Total (LFS)
2014,0,3.2240220183735318,1.9410718624949066,5.034709748354154,Total (LFS)
2015,0,2.8781801774652034,1.6766460176326272,4.608245277821693,Total (LFS)
2016,0,0,0,0.6124969829285477,Total (LFS)
2000,1,3.7174532741469712,2.329708175225474,5.628268931912349,Total (LFS)
2001,1,4.615469277838824,3.014977768632976,6.762731875518134,Total (LFS)
2002,1,5.668683182611314,3.8773751005366766,8.00248927457161,Total (LFS)
2003,1,4.702971192492611,3.0721369244008847,6.890942454286219,Total (LFS)
2004,1,6.386398390627606,4.472954918647081,8.841467326340734,Total (LFS)
2005,1,4.166083414988568,2.696069524904734,6.149960955054687,Total (LFS)
2006,1,3.72573824656597,2.334900323331354,5.64081247972017,Total (LFS)
2007,1,5.022024005274745,3.412221659040511,7.12836220509764,Total (LFS)
2008,1,5.7924638479807,4.07842910996539,7.984148396963938,Total (LFS)
2009,1,5.229259449707597,3.662509030250572,7.239499282318447,Total (LFS)
2010,1,4.649321410406872,3.2003789299417478,6.5293758594790905,Total (LFS)
2011,1,4.733034659125365,3.2373922031070252,6.681632731215468,Total (LFS)
2012,1,5.589920490736178,3.9557604344245174,7.672602610972367,Total (LFS)
2013,1,2.5835231505203646,1.531159554141248,4.08308040175622,Total (LFS)
2014,1,1.6386799985698794,0.818023151157331,2.932051167529996,Total (LFS)
2015,1,3.240588667661429,2.030859665163173,4.906290186926765,Total (LFS)
2016,1,0,0,0.5681737528900851,Total (LFS)
2000,2,6.092741682984496,4.267281370818682,8.434922662669633,Total (LFS)
2001,2,5.7751772979430465,4.022622590929302,8.031873594418053,Total (LFS)
2002,2,5.101150885461062,3.465984535143943,7.240676495418635,Total (LFS)
2003,2,3.8231016128275486,2.3959174266059393,5.788221786313859,Total (LFS)
2004,2,5.4089138900908695,3.6750945651131772,7.677521514085643,Total (LFS)
2005,2,5.808347757396931,4.045727031306955,8.078005673773827,Total (LFS)
2006,2,3.962737062489061,2.53900040860549,5.89623863499447,Total (LFS)
2007,2,3.577759346896294,2.242162734746485,5.4167706472695585,Total (LFS)
2008,2,6.130976523076051,4.359723648502703,8.381246736564965,Total (LFS)
2009,2,3.8504248558785976,2.491791948889356,5.683986652506913,Total (LFS)
2010,2,4.445132503268705,2.9769750011186304,6.383951759366061,Total (LFS)
2011,2,3.7693341471229105,2.46225420905544,5.522947863313074,Total (LFS)
2012,2,5.115589759792969,3.5426946195388855,7.148523940990636,Total (LFS)
2013,2,3.4441001874968142,2.2288400474224113,5.084171287160858,Total (LFS)
2014,2,2.2996931346973386,1.3144733276763072,3.7345575746230235,Total (LFS)
2015,2,2.3060636502393264,1.3181146277424536,3.7449028927494408,Total (LFS)
2016,2,0,0,0.5470525751334213,Total (LFS)
2000,3,3.864286266326609,2.475921125841523,5.749751654196809,Total (LFS)
2001,3,4.679668345219134,3.1096056302857322,6.763423702732123,Total (LFS)
2002,3,5.5168724348632905,3.7975611365977344,7.747740049847331,Total (LFS)
2003,3,3.0652280529671407,1.8166484081929333,4.844381823117267,Total (LFS)
2004,3,4.535242321485885,2.96257085716016,6.645180796235927,Total (LFS)
2005,3,7.135932553254072,5.120868402692036,9.680698271143667,Total (LFS)
2006,3,4.309473216623958,2.815090982194639,6.3143767479264845,Total (LFS)
2007,3,6.430485646352227,4.5940332233916905,8.756496311953162,Total (LFS)
2008,3,4.116520585072838,2.663995074637347,6.076796440943633,Total (LFS)
2009,3,5.199265800647545,3.5789353436210263,7.301702250520996,Total (LFS)
2010,3,2.884797874359461,1.736836768171074,4.504969227038998,Total (LFS)
2011,3,3.619705095386469,2.342482284848975,5.34339877241761,Total (LFS)
2012,3,4.848491762555098,3.357721491876961,6.7752812617491225,Total (LFS)
2013,3,3.6359835108147784,2.329643242552894,5.4100552508530475,Total (LFS)
